Metric		Current
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SVG		3
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		55
LOW_RISK_FILE_SIZE_COUNT		3
MEDIUM_RISK_FILE_SIZE_COUNT		1
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		1,928
LOW_RISK_FILE_SIZE_LOC		397
MEDIUM_RISK_FILE_SIZE_LOC		220
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		8
LINES_OF_CODE_IN_UNITS		178
LINES_OF_CODE_OUTSIDE_UNITS		2,367
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		19
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		10.67
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_LOW_RISK_LOC		15
UNIT_SIZE_LOW_RISK_PERCENTAGE		8.43
UNIT_SIZE_LOW_RISK_COUNT		1
UNIT_SIZE_MEDIUM_RISK_LOC		81
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		45.51
UNIT_SIZE_MEDIUM_RISK_COUNT		3
UNIT_SIZE_HIGH_RISK_LOC		63
UNIT_SIZE_HIGH_RISK_PERCENTAGE		35.39
UNIT_SIZE_HIGH_RISK_COUNT		1
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_LOC		11
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_BACKEND_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BACKEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_LOC		8
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_PERCENTAGE		26.67
UNIT_SIZE_COMPONENT_FRONTEND_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_LOC		22
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_PERCENTAGE		73.33
UNIT_SIZE_COMPONENT_FRONTEND_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FRONTEND_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_LOW_RISK_LOC		15
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_LOW_RISK_PERCENTAGE		10.95
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_MEDIUM_RISK_LOC		59
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_MEDIUM_RISK_PERCENTAGE		43.07
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_HIGH_RISK_LOC		63
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_HIGH_RISK_PERCENTAGE		45.99
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_NEXT_VITEST_APP_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		19
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		25.68
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		55
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		74.32
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		2
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_LOC		15
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_PERCENTAGE		19.23
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_COUNT		1
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_LOC		0
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_LOC		63
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_PERCENTAGE		80.77
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_COUNT		1
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_LOC		26
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_PERCENTAGE		100
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_COUNT		1
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		178
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		8
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_NEGLIGIBLE_RISK_LOC		11
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_NEGLIGIBLE_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BACKEND_HIGH_RISK_PERCENTAGE		0
